"frase,situacao"
"sinto dor no peito e falta de ar,alto risco"
"tive um leve incômodo nas costas,baixo risco"
"dor forte no peito que irradia para o braço esquerdo,alto risco"
"cansaço constante mesmo após descansar,alto risco"
"leve dor de cabeça após o trabalho,baixo risco"
"palpitações frequentes e suor frio,alto risco"
"só sinto um desconforto leve no peito ao subir escadas,baixo risco"
"falta de ar intensa e inchaço nas pernas,alto risco"
"tive azia depois do almoço,baixo risco"
"aperto no tórax com tontura e suor frio,alto risco"
"fadiga leve que passa com repouso,baixo risco"
"dor no peito que piora com esforço e falta de ar,alto risco"