Sintoma1,Sintoma2,Doenca_Associada
dor no peito,braço esquerdo,Infarto Agudo do Miocárdio
dor no peito,aperto no tórax,Angina
cansaço constante,fadiga,Insuficiência Cardíaca
falta de ar,esforço,Insuficiência Cardíaca
palpitações,aceleração irregular,Arritmia Cardíaca
inchaço nas pernas,edema,Insuficiência Cardíaca
suor frio,tontura,Infarto Agudo do Miocárdio
dor no peito,irradiação para as costas,Angina
fadiga extrema,repouso não ajuda,Insuficiência Cardíaca
aperto no tórax,ansiedade,Angina
falta de ar,intenso esforço,Angina
palpitações frequentes,Arritmia Cardíaca
peso no tórax,refeições,Angina
tontura,suor frio,Infarto Agudo do Miocárdio
inchaço nos tornozelos,fadiga,Insuficiência Cardíaca